tag-id,animal-id,animal-taxon,deploy-on-date,deploy-on-latitude,deploy-on-longitude,study-site,animal-comments,tag-manufacturer-name,tag-mass,animal-life-stage,deployment-comments,duty-cycle,attachment-type,tag-readout-method,manipulation-type
131,4264-84830852,Phoebastria irrorata,2008-05-31,-1.38,-89.75,Punta Suarez,,e-obs GmbH,22,adult,used in analysis,GPS locations recorded every 90 minutes,other: tape and cable ties,other wireless,none
132,3275-30662,Phoebastria irrorata,2008-06-23,-1.39,-89.62,Punta Cevallos,Nest stage: egg,e-obs GmbH,22,adult,used in analysis and shown in Figs 7-8,GPS locations recorded every 90 minutes,other: tape and cable ties,other wireless,none
134,4266-84831108,Phoebastria irrorata,2008-05-31,-1.38,-89.75,Punta Suarez,,e-obs GmbH,22,adult,used in analysis,GPS locations recorded every 90 minutes,other: tape and cable ties,other wireless,none
135,2368-2368,Phoebastria irrorata,2008-06-23,-1.39,-89.62,Punta Cevallos,Nest stage: egg,e-obs GmbH,22,adult,not used in analysis,GPS locations recorded every 90 minutes,other: tape and cable ties,other wireless,none
136,1163-1163,Phoebastria irrorata,2008-06-23,-1.39,-89.62,Punta Cevallos,Nest stage: egg,e-obs GmbH,22,adult,used in analysis,GPS locations recorded every 90 minutes,other: tape and cable ties,other wireless,none
138,4269-4831216,Phoebastria irrorata,2008-05-31,-1.38,-89.75,Punta Suarez,,e-obs GmbH,22,adult,not used in analysis,GPS locations recorded every 90 minutes,other: tape and cable ties,other wireless,none
140,4268-8582220031,Phoebastria irrorata,2008-05-31,-1.38,-89.75,Punta Suarez,,e-obs GmbH,22,adult,not used in analysis,GPS locations recorded every 90 minutes,other: tape and cable ties,other wireless,none
141,1103-1103,Phoebastria irrorata,2008-06-23,-1.39,-89.62,Punta Cevallos,Nest stage: egg,e-obs GmbH,22,adult,not used in analysis,GPS locations recorded every 90 minutes,other: tape and cable ties,other wireless,none
142,3655-27659,Phoebastria irrorata,2008-06-23,-1.39,-89.62,Punta Cevallos,Nest stage: downy chick,e-obs GmbH,22,adult,not used in analysis,GPS locations recorded every 90 minutes,other: tape and cable ties,other wireless,none
143,3272-3272,Phoebastria irrorata,2008-06-23,-1.39,-89.62,Punta Cevallos,Nest stage: egg,e-obs GmbH,22,adult,not used in analysis,GPS locations recorded every 90 minutes,other: tape and cable ties,other wireless,none
144,3606-30668,Phoebastria irrorata,2008-06-23,-1.39,-89.62,Punta Cevallos,Nest stage: egg,e-obs GmbH,22,adult,not used in analysis,GPS locations recorded every 90 minutes,other: tape and cable ties,other wireless,none
145,2382-2382,Phoebastria irrorata,2008-06-23,-1.39,-89.62,Punta Cevallos,Nest stage: egg,e-obs GmbH,22,adult,not used in analysis,GPS locations recorded every 90 minutes,other: tape and cable ties,other wireless,none
146,1094-1094,Phoebastria irrorata,2008-06-23,-1.39,-89.62,Punta Cevallos,Nest stage: egg,e-obs GmbH,22,adult,not used in analysis,GPS locations recorded every 90 minutes,other: tape and cable ties,other wireless,none
147,4262-84830876,Phoebastria irrorata,2008-05-31,-1.38,-89.75,Punta Suarez,,e-obs GmbH,22,adult,used in analysis,GPS locations recorded every 90 minutes,other: tape and cable ties,other wireless,none
148,4270-84831217,Phoebastria irrorata,2008-05-31,-1.38,-89.75,Punta Suarez,,e-obs GmbH,22,adult,not used in analysis,GPS locations recorded every 90 minutes,other: tape and cable ties,other wireless,none
149,4271-84831889,Phoebastria irrorata,2008-05-31,-1.38,-89.75,Punta Suarez,,e-obs GmbH,22,adult,not used in analysis,GPS locations recorded every 90 minutes,other: tape and cable ties,other wireless,none
150,4272-84831758,Phoebastria irrorata,2008-05-31,-1.38,-89.75,Punta Suarez,,e-obs GmbH,22,adult,not used in analysis,GPS locations recorded every 90 minutes,other: tape and cable ties,other wireless,none
151,unbanded-151,Phoebastria irrorata,,-1.58,-81.15,Isla de la Plata,,e-obs GmbH,22,adult,not used in analysis,GPS locations recorded every 90 minutes,other: tape and cable ties,other wireless,none
152,4267-84830990,Phoebastria irrorata,2008-05-31,-1.38,-89.75,Punta Suarez,,e-obs GmbH,22,adult,used in analysis,GPS locations recorded every 90 minutes,other: tape and cable ties,other wireless,none
153,unbanded-153,Phoebastria irrorata,,-1.58,-81.15,Isla de la Plata,,e-obs GmbH,22,adult,not used in analysis,GPS locations recorded every 90 minutes,other: tape and cable ties,other wireless,none
154,unbanded-154,Phoebastria irrorata,,-1.58,-81.15,Isla de la Plata,,e-obs GmbH,22,adult,not used in analysis,GPS locations recorded every 90 minutes,other: tape and cable ties,other wireless,none
155,4263-1135473,Phoebastria irrorata,2008-05-31,-1.38,-89.75,Punta Suarez,,e-obs GmbH,22,adult,not used in analysis,GPS locations recorded every 90 minutes,other: tape and cable ties,other wireless,none
156,unbanded-156,Phoebastria irrorata,,-1.58,-81.15,Isla de la Plata,,e-obs GmbH,22,adult,not used in analysis,GPS locations recorded every 90 minutes,other: tape and cable ties,other wireless,none
157,2131-2131,Phoebastria irrorata,2008-06-23,-1.39,-89.62,Punta Cevallos,Nest stage: egg,e-obs GmbH,22,adult,used in analysis,GPS locations recorded every 90 minutes,other: tape and cable ties,other wireless,none
158,4265-8483009431,Phoebastria irrorata,2008-05-31,-1.38,-89.75,Punta Suarez,,e-obs GmbH,22,adult,used in analysis,GPS locations recorded every 90 minutes,other: tape and cable ties,other wireless,none
159,unbanded-159,Phoebastria irrorata,,-1.58,-81.15,Isla de la Plata,,e-obs GmbH,22,adult,not used in analysis,GPS locations recorded every 90 minutes,other: tape and cable ties,other wireless,none
160,unbanded-160,Phoebastria irrorata,,-1.58,-81.15,Isla de la Plata,,e-obs GmbH,22,adult,not used in analysis,GPS locations recorded every 90 minutes,other: tape and cable ties,other wireless,none
